workerid,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,condition
430,English,1,Male,49,no,,Yes,0.4,4,implicit
431,English,2,Female,41,none,Great hit. Thanks and have a great day.,Yes,0.4,3,implicit
432,English,2,Male,27,None,,Yes,1,2,implicit
433,English,1,Male,35,,,Yes,NA,3,implicit
434,English,2,Female,30,No,Yes,Yes,0.5,3,implicit
435,english,2,Female,35,no,,Yes,0.40,1,implicit
436,Spanish,2,Male,25,No,,Yes,0.40,3,implicit
437,English,2,Female,32,No,Thank you!!!,Yes,40 cents,2,implicit
438,English,2,Male,35,No.,,Yes,.25,4,implicit
439,english,1,Female,30,no,,Yes,yes,4,implicit
440,English,2,Female,30,No,,Yes,0.50,3,implicit
441,eng,1,Male,28,layout errors but that could be my system,,Yes,yes,3,implicit
442,English,2,Male,32,No problems were observed.,Thank you for letting me complete the study.,No,.40,2,implicit
443,english,1,Female,45,no,,Yes,,2,implicit
444,English,2,Male,22,no,,Yes,40 cents,3,implicit
445,English,2,Female,49,no,I found the survey interesting.,Yes,.50,3,implicit
446,English,1,Male,39,No,No,Yes,40 cents,3,implicit
447,english,2,Female,47,,,Yes,,2,implicit
448,English,1,Male,36,no,,Yes,.40,1,implicit
449,English,0,Male,61,,,Yes,.2,3,implicit
450,English,2,Female,43,No,N/A,Yes,0.40,2,implicit
451,English,1,Female,63,no,,Yes,.50,4,implicit
452,English,1,Male,28,n/a,,Yes,.70,2,implicit
453,English,2,Male,19,,,Yes,0.30,2,implicit
454,English,2,Female,44,no,,Yes,,2,implicit
455,English,2,Female,39,No,It was an interesting and thought provoking experiment. ,Yes,No,2,implicit
456,Hindi,2,Female,37,No,,Yes,.50,3,implicit
457,english,2,Female,46,no,,No,.50,2,implicit
458,English,2,Male,21,,,No,.4$,3,implicit
459,,2,Male,47,No none,I liked your hit but I picked my decision based on being fare and giving the person the benefit of the doubt.I believe you can&quotechart completely judge someone according to word of mouth.You have to be open minded.,Yes,40,2,implicit
460,English,1,Female,28,No,,Yes,Yes,3,implicit
461,english,1,Male,48,no,,Yes,0.30,4,implicit
462,English,1,Female,56,no,,Yes,0.4,3,implicit
463,en,1,Male,28,,,No,0.5,3,implicit
464,Engl iush,2,Female,53,No,,Yes,0.4,2,implicit
465,english,1,Male,35,No,Thank you,Yes,1,4,implicit
466,English,2,Female,44,I didn&quotechart experience any.,Thank you,Yes,0.4,3,implicit
467,english,2,Female,36,,,Yes,NA,1,implicit
468,English,2,Male,67,No,None,Yes,40,4,implicit
469,English,1,Female,57,No,,Yes,NA,1,implicit
470,English ,2,Female,35,NA,,Yes,0.5,3,implicit
471,English,2,Female,38,No,Thanks for the opportunity! ,Yes,.50,2,implicit
472,English,1,Female,43,no,All a matter of perspective. ,Yes,yes,2,implicit
473,English,1,Male,32,No,,Yes,.25,3,implicit
474,English ,2,Female,27,,,Yes,.4,2,implicit
475,English,1,Male,58,No,,Yes,40,3,implicit
476,English,2,Male,53,No,,Yes,.30,0,implicit
477,ENGLISH,2,Male,48,NO,N/A,Yes,YES,1,implicit
478,English ,2,Female,45,No,,Yes,.50,3,implicit
479,english,2,Female,23,No,,Yes,0.4,3,implicit
480,English,1,Male,28,No,,Yes,0.4,3,implicit
481,english,2,Male,21,,,Yes,NA,0,implicit
482,English ,2,Female,36,No,,Yes,40,1,implicit
483,English,1,Male,39,No,Thanks,Yes,NA,3,implicit
484,English,2,Female,28,All good,,Yes,0.5,3,implicit
485,english,2,Female,44,none,thanks so much every bit helps hope to do more for you.it was fun/different,Yes,40,0,implicit
486,English,2,Female,66,none noted,enjoyed the process of thinking about the language used,Yes,0.4,4,implicit
487,English,2,Male,18,no,,Yes,0.4,1,implicit
488,English,2,Female,56,none,"I read the instructions, but you are making me second guess myself. ",Yes,NA,3,implicit
489,English,2,Male,22,No,Great HIT! Would do this again any time.,Yes,NA,3,implicit
490,English,1,Female,32,No,Have a good week! Thank you!,NA,0.4,3,implicit
491,English,1,Male,33,,,Yes,0.4,2,implicit
492,English,1,Female,28,,,Yes,0.4,3,implicit
493,English,1,Female,51,NO,,Yes,0.5,2,implicit
494,English,2,Male,24,No,,Yes,0.5,1,implicit
495,English,1,Female,21,No,,Yes,0.5,3,implicit
496,english,2,Female,32,no,,Yes,0.5,2,implicit
497,English,1,Female,34,,,Yes,0.4,3,implicit
498,English,2,Male,24,None at all.,NA,Yes,0.4,2,implicit
499,english,2,Female,32,no,NA,Yes,0.4,1,implicit
500,English,2,Male,34,,NA,Yes,NA,2,implicit
501,,-1,Male,NA,,NA,Yes,NA,3,implicit
502,English,2,Male,33,,NA,Yes,0.4,4,implicit
503,English,2,Male,26,No,NA,Yes,0.4,3,implicit
504,English,2,Female,24,No,NA,No,0.4,3,implicit
505,English,2,Female,63,no,NA,Yes,0.5,3,implicit
506,English,2,Male,31,no,NA,Yes,0.4,2,implicit
507,English,1,Male,24,no,,Yes,yes,3,implicit
508,,1,Female,29,,,Yes,,4,implicit
509,English,1,Male,29,no,,Yes,.40,2,implicit
510,English,1,Female,39,no,,Yes,45,2,implicit
511,English,1,Male,27,No,,Yes,.2,3,implicit
512,English,1,Male,33,No,,Yes,.10,3,implicit
513,English,2,Male,27,no,,Yes,.40,2,implicit
514,English,1,Female,52,no,This last page the comment boxes were weird. ,Yes,.40,3,implicit
515,english,2,Male,32,no,,Yes,.40,3,implicit
516,,2,Female,35,,,Yes,NA,-1,implicit
517,Cantonese and English Mixed,2,Female,28,None,,Yes,0.4,3,implicit
518,English,1,Male,30,No problems,Interesting study,Yes,0.4,1,implicit
519,ENGLISH,2,Female,60,NO,,Yes,0.4,2,implicit
520,Tamil,1,Male,31,N/A,Good.,Yes,0.4,3,implicit
521,English,2,Female,48,,,Yes,NA,4,implicit
522,English,2,Male,54,none,,Yes,0.4,2,implicit
523,english,1,Female,37,no,,Yes,0.5,3,implicit
524,English,2,Female,58,No problems,Enjoyable,Yes,0.4,2,implicit
525,English,1,Male,30,,,Yes,.40,3,implicit
526,english,2,Male,31,none,,Yes,.40,3,implicit
527,Russian,0,Male,56,,,Yes,0.40,3,implicit
528,English,2,Male,25,No.,,Yes,0.50,2,implicit
529,English,1,Male,24,No,,Yes,0.40,3,implicit
530,English,1,Male,28,No issues,The language was all the same. It would be more meaningful to rate on a scale if there was more powerful wording,Yes,0.50,3,implicit
531,ENGLISH,1,Female,44,NO,I participated in your Language 239 on 01-11-18  It was similar to this one. I READ where it said to not take this particular one more than once Language people 001. This is my first attempt at this one. I just want to be clear to not get a rejection for NOT following rules. Could you let me know if this is incorrect. AV182SXSO370E,Yes,YES,3,implicit
532,english,2,Male,30,no,,No,.50,3,implicit
533,english,1,Female,60,no,,Yes,yes,3,implicit
534,english,1,Female,28,no,,Yes,30,4,implicit
535,English,2,Female,35,no,,Yes,.40,2,implicit
536,English,2,Female,24,No,NA,Yes,.40,2,implicit
537,english,2,Female,30,no,I really appreciate the opportunity to be able to take part in your research. It was very interesting and I enjoyed participating in it very much.,Yes,yes,2,implicit
538,English,1,Female,26,No,,Yes,0.40,2,implicit
539,English,2,Female,36,no,none,Yes,.50,4,implicit
540,English,2,Female,57,no,,Yes,.40,3,implicit
541,English,2,Female,28,No,,Yes,1.00,3,implicit
542,English,2,Female,42,no,,Yes,0.40,3,implicit
543,English,2,Male,41,,,Yes,,2,implicit
544,english,1,Female,25,no,,Yes,.50,3,implicit
545,English,2,Female,52,no,I try not to make total judgements about people without knowing them myself.,Yes,.40,2,implicit
546,English,1,Female,30,no,none,Yes,.4,2,implicit
547,englisg,2,Male,64,no,none,Yes,.40,3,implicit
548,English,1,Female,20,,,Yes,40 cents,2,implicit
549,English,2,Female,47,No,This was an interesting experiment.  I had to ponder the questions more than I anticipated which was not a bad thing.  Thanks!,Yes,.40 was fair,2,implicit
550,English,1,Male,29,everything was okay,,Yes,yes,2,implicit
551,English,2,Female,28,no,na,Yes,0.50,3,implicit
552,English,1,Female,40,None,,Yes,.25,2,implicit
553,English,1,Female,30,,,Yes,.50,2,implicit
554,English,1,Female,31,No,,Yes,.75,3,implicit
555,English ,2,Male,19,No,Thank you so much!,Yes,1.00,2,implicit
556,english,2,Female,58,no,n/a,Yes,0.50,2,implicit
557,English,1,Female,33,,,Yes,.75,4,implicit
558,English,1,Male,43,no,,Yes,ok,4,implicit
559,English,1,Male,26,No problems,,Yes,0.50,3,implicit
560,English,2,Male,32,"Nope, appeared to function correctly.",,Yes,40 cents seems about right.,2,implicit
561,English,2,Male,29,No,,Yes,1.00,3,implicit
562,eEglish,2,Female,22,no,"I think the ""in the world"" is too far. The extremes should be less broad.",Yes,yes,3,implicit
563,English,2,Male,42,no,n/a,Yes,0.50,3,implicit
564,English,1,Male,22,no,,Yes,.50,2,implicit
565,English,1,Female,53,no,,Yes,.3,4,implicit
566,English,2,Female,52,No,,Yes,Yes,3,implicit
567,English ,1,Female,38,No,,Yes,.40,3,implicit
568,English,2,Female,52,No,Thank you,Yes,Yes,1,implicit
569,English,1,Male,45,None,Thanks!,Yes,50,2,implicit
570,English,2,Male,19,,,Yes,0.40,2,implicit
571,English,1,Female,26,none,,Yes,.40,3,implicit
572,english,2,Male,28,no,"Fairly streamlined and to the point, i liked the Hit",Yes,0.30,3,implicit
573,English,1,Male,28,The experience was fine and worked properly,Thank you for the survey.,Yes,0.30,2,implicit
574,English,2,Male,26,,,Yes,.5,3,implicit
575,English,2,Male,33,Nope.,,Yes,$0.5,2,implicit
576,English,1,Female,58,I did not encounter any problems or bugs.,"I could not figure out what you were researching, but the hit was interesting.",Yes,.75,4,implicit
577,English,2,Male,46,No,,Yes,.25,4,implicit
578,english,1,Other,23,,,Yes,0.5,2,implicit
579,English,1,Female,24,No,If you added more questions and extend the sentences longer. Unless it was meant to be short.,Yes,.10,2,implicit
580,English,1,Male,35,No,No comments,Yes,.50,3,implicit
581,English,1,Male,44,No.,n/a,Yes,40,2,implicit
582,English,2,Female,40,No,,Yes,yes,3,implicit
583,English,2,Female,20,No,,Yes,0.40,2,implicit
584,English,1,Male,27,None.,"For someone to say something negative and direct (X is flaky), it&quotechars probably a strong trait.",Yes,.40,3,implicit
585,english,2,Male,39,no,,Yes,.40,3,implicit
586,English,1,Female,26,No.,,Yes,$0.60,2,implicit
587,english,1,Male,28,no,,Yes,.40,3,implicit
588,English,2,Male,29,none,,Yes,1,2,implicit
589,english,2,Male,23,,,Yes,.40,3,implicit
590,chinese,1,Female,26,no,,Yes,no,-1,implicit
591,English,2,Female,40,no,,Yes,1.00,3,implicit
592,english,2,Female,39,no,"none, thank you",Yes,.25,2,implicit
593,English,2,Female,61,No,,Yes,.75,3,implicit
594,english,2,Male,26,no there wasn&quotechart,,Yes,yes,1,implicit
595,English,2,Male,29,"No, everything went well.",Thank you for allowing me to participate in your study.,Yes,1.00,1,implicit
596,English,1,Female,29,No,Great to the point survey!,Yes,.40,2,implicit
597,English,1,Female,24,no,,Yes,0.4,2,implicit
598,English,1,Male,48,none,none,No,0.4,4,implicit
599,English,1,Female,45,No,Nothing to add...,Yes,0.5,3,implicit
600,English,1,Female,25,No,Thanks!,Yes,1.00,2,explicit
601,English,2,Male,27,No issues,Thank you!,Yes,1.00,3,explicit
602,English,1,Male,39,,,Yes,$1,3,explicit
603,English,2,Male,30,,,Yes,.80,4,explicit
604,English,1,Female,23,,,Yes,Yes,3,explicit
605,English,2,Female,30,,,No,.80,2,explicit
606,english,2,Male,56,no problems,interesting and logical,NA,1001,3,explicit
607,english,1,Male,37,,,Yes,.80,2,explicit
608,english,2,Male,31,no,,Yes,.80,3,explicit
609,english,1,Female,35,no,,Yes,1.oo,4,explicit
610,english,2,Male,27,None,God bless and good luck! Very interesting hit!,Yes,Yes,2,explicit
611,english,1,Male,40,no,,Yes,.80,1,explicit
612,English,2,Female,36,no,,Yes,.90,2,explicit
613,english,2,Male,57,none,ok hit,Yes,.70,1,explicit
614,English ,2,Female,33,None.,Good study ,Yes,.80,2,explicit
615,english,1,Male,31,no,,Yes,1.50,3,explicit
616,English,2,Female,58,no,"thx, it was interesting to see how I felt about different versions of the same sentiment. ",Yes,.80,3,explicit
617,english,2,Female,29,,,Yes,1.00,2,explicit
618,english,1,Female,29,No,Thank you. It was interesting to think about the different phrasing,Yes,.50,3,explicit
619,English,2,Male,32,No problems,"Occasionally I felt that &quotecharnot&quotechar was more significant than &quotecharun&quotechar in some instances, but not in others. I think context and frequency of use/observation in conversation influenced how the sentences made me feel. ",Yes,The compensation was fair,3,explicit
620,English,2,Female,49,No.,,Yes,.80,1,explicit
621,English,1,Male,69,No.,It was okay.,Yes,0.80,2,explicit
622,English,2,Female,71,no,,Yes,.80,4,explicit
623,English,1,Male,27,no,,Yes,.80,2,explicit
624,English,1,Male,42,"No, straightforward",Thank you!,Yes,Yes,3,explicit
625,English,2,Male,31,No,,Yes,$1.00,3,explicit
626,English,1,Female,45,no,thank you.,Yes,.80,2,explicit
627,English,1,Male,27,,,Yes,NA,2,explicit
628,English,2,Male,27,No,N/A,Yes,NA,1,explicit
629,english,2,Male,45,no bugs,no problems,Yes,1,2,explicit
630,english,1,Male,28,no,,Yes,NA,2,explicit
631,English,1,Female,26,None,No issues.,Yes,1,3,explicit
632,ENGLISH,1,Female,57,NO,NONE,Yes,NA,2,explicit
633,English,2,Male,55,no,,Yes,1,3,explicit
634,english,1,Male,31,,,Yes,NA,2,explicit
635,English,1,Male,36,no,,Yes,NA,3,explicit
636,English,1,Female,32,no,,Yes,0.80,3,explicit
637,English,1,Male,43,No,,Yes,0.80,3,explicit
638,English,2,Male,32,no,Interesting study and survey,Yes,75 cents,3,explicit
639,English,2,Female,37,No,,Yes,.80,3,explicit
640,English,1,Female,29,,,Confused,1.00,2,explicit
641,English,1,Female,28,No,,Yes,Yes,4,explicit
642,english,1,Female,34,No,,Yes,1.00,3,explicit
643,English,1,Female,51,no,,Yes,.80,2,explicit
644,English,1,Male,18,No problems.,Good luck!,Yes,$1,1,explicit
645,English,1,Female,39,,,Yes,1.00,4,explicit
646,English,2,Female,31,,Simple and short! Good study though hearing those phrases I don&quotechart have much range with the difference key phrase!,Yes,Very,2,explicit
647,English,2,Male,71,no,,Yes,0.80,4,explicit
648,hungarian,1,Female,37,no,none,Yes,0.80,3,explicit
649,Filipino,2,Male,35,"There were no problems, it&quotechars clear.","This experiment made me realize that whenever somebody uses ""not"" to describe someone, it&quotechars not as effective as when they&quotecharre saying a single word about them. For example ""not good"", I can interpret that as just ""slightly not doing well"". If someone says ""Horrible"", then I interpret that as ""wow, someone really messed up and can&quotechart be relied on!"" I guess in my personal opinion, a single word is more powerful than adding ""not"" behind it. ",Yes,1.00,3,explicit
650,,1,Male,38,n/a,no comments!,Yes,1.00,3,explicit
651,english,2,Female,58,,,Yes,.80,2,explicit
652,English,1,Male,28,Not that I could tell.,I would do this another version of this HIT again in the future.,Yes,Yes,3,explicit
653,english,1,Female,57,no,,Yes,1.00,2,explicit
654,English,1,Male,36,no,,Yes,don&quotechart know,3,explicit
655,english,2,Female,26,no,,Yes,.80,1,explicit
656,english,1,Male,30,no,,Yes,.75,2,explicit
657,,-1,,NA,,,No,,-1,explicit
658,English,2,Male,48,Not that I noticed,,Yes,,2,explicit
659,English (US),2,Male,24,no,thank you for the opportunity. ,Yes,yes,3,explicit
660,EGNLISH,2,Male,43,no,,Yes,.8,2,explicit
661,English,1,Female,45,no,Thank you for allowing me to participate in your study.,Yes,slightly underpaid,2,explicit
662,english,2,Female,26,no,,Yes,0.80,1,explicit
663,english,1,Female,39,no,,Yes,yes,3,explicit
664,English,1,Male,28,No,,Yes,.80 was fair,2,explicit
665,English ,2,Male,34,No.,This HIT was fun.,Yes,.80,4,explicit
666,English,2,Female,21,no,,Yes,.80,3,explicit
667,English,1,Female,44,No,I enjoyed doing the HIT. Thanks!,Yes,1.00,2,explicit
668,English,1,Female,30,No,,Yes,1,2,explicit
669,English,0,Female,26,no,,Yes,.80,3,explicit
670,English,2,Female,20,,,Yes,0.50,2,explicit
671,English,1,Male,48,,,Yes,.75,4,explicit
672,English,1,Female,58,no,,Yes,yes,4,explicit
673,English,2,Male,26,No,,Yes,0.80,2,explicit
674,english,1,Male,47,none,thank you,Yes,1.00,2,explicit
675,English,1,Male,31,,,Yes,1.00,1,explicit
676,english,1,Male,25,no,,Yes,yes,2,explicit
677,English,2,Female,42,no,,Yes,yes,3,explicit
678,English,2,Female,52,,Enjoyed this hit. I would like to see more hits like this.,Yes,.80,3,explicit
679,english,1,Female,29,no,,Yes,2,3,explicit
680,english,2,Female,55,no went great ,great study ,Yes,0.80,2,explicit
681,English,2,Male,31,N/A,great study!,Yes,1.00,2,explicit
682,English,1,Male,42,No,,Yes,Yes,3,explicit
683,English,2,Male,29,No bugs or glitches of any kind.,I don&quotechart have any substantial comments regarding this experiment.,Yes,$0.80,3,explicit
684,English,2,Male,28,,,Yes,.90,2,explicit
685,english,2,Male,22,no,Thanks.,Yes,,1,explicit
686,English,2,Male,25,I did not notice any problems or bugs.,"I do particularly like working with the English language and language in general, so I might have enjoyed this HIT more than the average person.",Yes,0.75,2,explicit
687,English,2,Male,51,There were no problems or bugs with the HIT,Thanks for the opportunity to participate and good luck with your research!,Yes,0.80,4,explicit
688,English,1,Male,35,None,They all follow the same pattern.,Yes,$0.75,3,explicit
689,english,1,Male,22,no,,Yes,1.25,3,explicit
690,English,2,Female,33,NA,HIT was interesting and fairly compensated.,Yes,.80,2,explicit
691,Italian,2,Male,38,none,"Thank you very much for this HIT, and best of luck with your research! :)",Yes,"your pay was fair/generous, thank you!",2,explicit
692,English,1,Male,34,,,Yes,1,3,explicit
693,english,1,Female,32,,,Yes,1.00,4,explicit
694,English,1,Female,37,No,,Yes,.80,4,explicit
695,English,2,Female,38,no,,Yes,.80,3,explicit
696,English,2,Female,34,No,,Yes,Yes,4,explicit
697,English ,1,Male,48,No,,Yes,1.00,3,explicit
698,english,2,Female,52,no,all went well thanks,Yes,yes,3,explicit
699,english,1,Male,31,no,,Yes,1.00,2,explicit
700,English,1,Female,26,No,"With all four options every time you&quotecharll get the same answer, maybe change it up instead.",Yes,1.00,3,explicit
701,english,1,Male,28,,,Yes,.80,2,explicit
702,English,1,Male,22,,,Yes,.80,2,explicit
703,English,1,Female,32,,,Yes,1.00,1,explicit
704,english,1,Male,38,no,na,Yes,1,3,explicit
705,english,1,Female,44,no,,Yes,yes,2,explicit
706,english,2,Male,47,no,It was fine.,Yes,0.80,3,explicit
707,English,2,Male,34,N/A,,Yes,Yes,3,explicit
708,english,1,Male,52,no,,Yes,0.80,3,explicit
709,English,2,Male,32,,,Yes,$1,4,explicit
710,English,1,Male,24,,,Yes,,3,explicit
711,English,1,Male,36,,that was really confusing,Confused,1.00,2,explicit
712,English,1,Female,29,no,,Yes,.80,3,explicit
713,English,2,Male,23,No,,Yes,.80,2,explicit
714,english,1,Female,48,no,,Yes,.5,2,explicit
715,English,2,Female,35,No,It was straightforward and I enjoyed it. Thanks for the opportunity.,Yes,.80,1,explicit
716,English,2,Male,31,No,Straightforward and easy task. The layout made pleasant. ,Yes,I think that the 80 cents provided for this HIT was fair. ,3,explicit
717,english,2,Female,54,no,,Yes,1,3,explicit
718,English,2,Male,51,no,It was kinda fun and interesting to rate the statements as they relate to each other.,Yes,1.00,3,explicit
719,english,2,Female,58,no,seemed very easy,Yes,.40,2,explicit
720,English,1,Male,31,No,n/a,Yes,0.75,3,explicit
721,English,1,Male,22,No,,Yes,1,2,explicit
722,English,1,Male,30,Not at all.,Thank you!,Yes,NA,3,explicit
723,"russian, english",2,Male,34,,,Yes,NA,4,explicit
724,English,2,Male,34,no,,Yes,1,3,explicit
725,English,1,Female,31,,,Yes,NA,3,explicit
726,english,2,Male,67,no,good study thanks,Yes,NA,2,explicit
727,English,1,Female,39,,,Yes,1,2,explicit
728,English,2,Female,32,No,,Yes,0.75,4,explicit
729,English,2,Female,29,no,,Yes,.80,3,explicit
730,English,2,Female,39,No :),This was enjoyable!  I like the nuances of communication.,Yes,.50,2,explicit
731,English,1,Male,38,,I felt like I was lacking specific information to feel compelled to put the sliders at any extreme ranges. Generalizing made me put most of my responses towards the median.,Yes,0.80,3,explicit
732,english,1,Female,36,,,Yes,yes,2,explicit
733,English,2,Male,33,No,No comments at this time.,Yes,0.50,3,explicit
734,English,1,Female,49,No.,Thank-you,Yes,1.00,3,explicit
735,english,1,Male,68,no,no,Yes,50 cents,3,explicit
736,English,2,Male,41,None,None,Yes,1.00,3,explicit
737,english,2,Female,51,no,it was interesting,Yes,70,3,explicit
738,English,1,Male,36,no,none,Yes,yes,1,explicit
739,English,1,Female,33,no,,Yes,.80,3,explicit
740,English,2,Female,56,No,,Yes,1.00,3,explicit
741,english,2,Male,26,no,,Yes,0.80,3,explicit
742,English,1,Male,24,No,,Yes,2.50,4,explicit
743,English,2,Female,27,No,,Yes,.8,3,explicit
744,English,2,Male,28,,Fun! Thanks,Yes,.50,2,explicit
745,eng,1,Male,33,no,,Yes,.80,1,explicit
746,English,2,Male,38,"Nope, it went smoothly.",It was simple and easy to work on.,Yes,0.75,3,explicit
747,English,2,Male,34,No problems encountered,"No further comment, at this time.",Yes,0.80,2,explicit
748,English,1,Female,36,"Yes, in the space below, the question ""What do you think is a fair price for the work you did?"" is grayed out but I would have replied $1.00",,Yes,77,2,explicit
749,English,1,Female,28,"No, I didn&quotechart notice any problems or bugs.",I don&quotechart have any additional comments. It was mostly fine. A little hard to think through some of them though. ,Yes,$1.00,3,explicit
